CustomerID,Frequency,Monetary,AvgOrderValue,TotalQuantity,AvgItemsInCart,ProductDiversity,FirstOrderDate,LastOrderDate,PctCancelled,PctReturned,PctCouponUsed,DominantPaymentMethod,DominantReferralSource,Recency,Tenure,AvgDaysBetweenOrders,IsRepeatCustomer,TenureYears,CLV_Proxy,SpendPerItem,EngagementScore,Churn
C10002,1,1470.03,1470.03,3,4.0,1,2023-10-16,2023-10-16,0.0,1.0,1.0,Cash,Facebook,533,533,,0,1.45927446954141,1007.3704643527204,490.01,-0.649208282581426,1
C10054,1,153.48,153.48,2,7.0,1,2024-10-14,2024-10-14,0.0,1.0,1.0,Cash,Instagram,169,169,,0,0.46269678302532513,331.70751479289936,76.74,-0.205846528623379,1
C10126,1,1349.8,1349.8,2,4.0,1,2023-06-18,2023-06-18,0.0,0.0,1.0,Online,Facebook,653,653,,0,1.787816563997262,754.9991577335376,674.9,-0.795371498171991,1
C10154,1,1303.04,1303.04,4,8.0,1,2024-07-29,2024-07-29,0.0,0.0,1.0,Gift Card,Email,246,246,,0,0.6735112936344969,1934.6965853658537,325.76,-0.29963459196065817,1
C10211,1,635.9000000000001,635.9000000000001,5,10.0,1,2024-05-09,2024-05-09,1.0,0.0,1.0,Debit Card,Google,327,327,,0,0.8952772073921971,710.2827981651377,127.18000000000002,-0.3982947624842895,1
C10222,1,204.08,204.08,1,4.0,1,2023-09-27,2023-09-27,0.0,1.0,0.0,Gift Card,Google,552,552,,0,1.51129363449692,135.0366304347826,204.08,-0.6723507917165988,1
C10477,1,466.42,466.42,1,5.0,1,2023-05-03,2023-05-03,0.0,0.0,1.0,Gift Card,Email,699,699,,0,1.9137577002053388,243.7194635193133,466.42,-0.851400730815041,1
C10642,1,922.74,922.74,2,5.0,1,2024-06-12,2024-06-12,0.0,0.0,1.0,Cash,Google,293,293,,0,0.8021902806297057,1150.2757167235495,461.37,-0.3568818514002961,1
C10787,1,1099.28,1099.28,4,9.0,1,2023-10-23,2023-10-23,0.0,0.0,1.0,Debit Card,Email,526,526,,0,1.4401095140314852,763.3308365019011,274.82,-0.6406820950053098,1
C10791,1,355.09,355.09,1,5.0,1,2023-12-20,2023-12-20,1.0,0.0,1.0,Debit Card,Instagram,468,468,,0,1.2813141683778233,277.12953525641024,355.09,-0.5700365408032034,1
C10866,1,789.5699999999999,789.5699999999999,3,5.0,1,2023-12-26,2023-12-26,0.0,0.0,0.0,Online,Instagram,462,462,,0,1.264887063655031,624.2217370129869,263.19,-0.5627283800236751,1
C10892,1,754.94,754.94,2,7.0,1,2024-07-20,2024-07-20,0.0,0.0,0.0,Cash,Google,255,255,,0,0.6981519507186859,1081.3405294117647,377.47,-0.31059683312995057,1
C11127,1,1306.65,1306.65,5,5.0,1,2024-08-28,2024-08-28,0.0,1.0,1.0,Credit Card,Referral,216,216,,0,0.5913757700205339,2209.508854166667,261.33000000000004,-0.2630937880630169,1
C11210,1,454.6,454.6,5,9.0,1,2024-09-09,2024-09-09,0.0,0.0,1.0,Credit Card,Facebook,204,204,,0,0.5585215605749486,813.9345588235295,90.92,-0.24847746650396044,1
C11415,1,2876.2,2876.2,5,7.0,1,2024-03-15,2024-03-15,0.0,0.0,1.0,Cash,Email,382,382,,0,1.0458590006844628,2750.08390052356,575.24,-0.4652862362966318,1
C11473,1,146.82,146.82,2,2.0,1,2023-12-28,2023-12-28,0.0,0.0,1.0,Online,Google,460,460,,0,1.2594113620807665,116.57827173913043,73.41,-0.5602923264304991,1
C11644,1,46.66,46.66,1,6.0,1,2023-07-21,2023-07-21,1.0,0.0,0.0,Cash,Google,620,620,,0,1.6974674880219027,27.48800806451613,46.66,-0.7551766138845857,1
C11657,1,264.4,264.4,4,9.0,1,2023-12-10,2023-12-10,0.0,1.0,1.0,Cash,Google,478,478,,0,1.3086926762491444,202.03368200836817,66.1,-0.5822168087690838,1
C11665,1,337.38,337.38,3,6.0,1,2023-04-28,2023-04-28,0.0,0.0,1.0,Gift Card,Instagram,704,704,,0,1.9274469541409993,175.03983664772727,112.46,-0.8574908647979811,1
C11849,1,476.5,476.5,2,7.0,1,2024-10-27,2024-10-27,1.0,0.0,1.0,Online,Email,156,156,,0,0.4271047227926078,1115.6514423076924,238.25,-0.19001218026773445,1
C11893,1,1582.0,1582.0,5,7.0,1,2024-09-20,2024-09-20,0.0,1.0,0.0,Gift Card,Email,193,193,,0,0.5284052019164955,2993.914507772021,316.4,-0.23507917174149198,1
C11906,1,1237.59,1237.59,3,6.0,1,2025-01-01,2025-01-01,0.0,0.0,1.0,Online,Google,90,90,,0,0.2464065708418891,5022.55275,412.53,-0.10962241169292372,1
C11921,1,452.7,452.7,1,5.0,1,2024-11-29,2024-11-29,0.0,0.0,1.0,Debit Card,Instagram,123,123,,0,0.33675564681724846,1344.2981707317074,452.7,-0.14981729598032908,1
